# TEST_TYPE: update # If you want to use this script, you must update input_fn in generate_input.py and me0_oh_database_results.py
# OH_SLOT   OH_SER_NUM  VTRXP_SER_NUM
1	1030	017941
2	1089	004359
3	1128	018048
4	1159	004130
5	1160	004043
6	1161	017802
7	1162	003990
8	1165	003986
9	1167	004042
10	1171	017804
11	1186	004338
12	1191	018038
13	1192	004221
14	1200	004353
15	1201	004127
16	1204	018015
17	1215	017943
18	1310	017975
19	1325	004178
20	1332	004340
21	1351	017971
22	1389	004347
23	1392	004355
24	1509	004330
25	1581	004159
26	1622	017851
27	1625	004135
28	1626	004017
29	1627	018053
30	1630	018051
31	1631	017957
32	1632	017940
33	1634	004055
34	1637	004345
35	1638	004067
36	1640	004349
37	1663	004170
38	1666	018014
39	1713	004160
40	1728	004069
41	1757	004179
42	1761	017974
43	1763	004071
44	1765	004333
45	1772	018050
46	1816	018043
47	1817	017826
48	1820	017944
49	1848	004303
50	1857	004034
51	1879	004310
52	1882	004339
53	1913	004352
54	1930	004037
55	1962	004342
56	1963	004136
57	1965	004041
58	1968	017959
59	1970	017972
60	1973	017868
61	1974	004054
62	1975	018039
63	1978	004346
64	1981	017963
65	1982	004044
66	1984	004070
